ortho,phono,class,letters,phonemes,complexity,graphemes,syllabes,frequency,OLD20,Grapheme,Phoneme,Match,Grapheme.1,Phoneme.1,Match.1,orthography,phonology,match,Type,Token,Type.1,Token.1,Type.2,Token.2,Type.3,Token.3,Type.4,Token.4,Type.5,Token.5,type,token,Type.6,Assoc.,Type.7,Assoc..1,Type.8,Assoc..2,Type.9,Assoc..3,Type.10,Token.6,Type.11,Token.7,Type.12,Token.8,Type.13,Token.9,Type.14,Token.10,Type.15,Token.11,Type.16,Token.12,Type.17,Token.13,Type.18,Token.14,Type.19,Token.15,Type.20,Token.16,Type.21,Token.17,phono_IPA
abaques,abak,NC,7.0,4.0,1.75,6.0,2.0,6.21954,2.7,.a.b.a.qu.e.s,.a.b.a.k.°.#,(a-a.b-b.a-a.qu-k.e-°.s-#),.a.b.a.ques,.a.b.a.k,(a-a.b-b.a-a.ques-k),aques,ak,aques-ak,3.0,28.0,100.0,100.0,13.043,0.489,2024.0,74006.0,1359.0,38662.0,97.023,95.231,82.167,68.404,523.0,qu-k,92.0,ques-k,91.562,a-a,29.206,ques-k,1012.0,30398.147,1783.0,50820.11,4002.0,210357.889,1012.0,30398.147,2166.0,60995.331,92.0,2257.707,99.508,96.524,95.886,94.534,99.084,96.724,99.901,62.317,99.781,99.701,29.206,11.896,a b a k
abat,abA,"NC,VER",4.0,3.0,1.33,4.0,2.0,3.10977,1.9,.a.b.a.t,.a.b.A.#,(a-a.b-b.a-A.t-#),.a.b.at,.a.b.A,(a-a.b-b.at-A),at,A,at-A,25.0,1396.0,96.154,99.557,7.837,10.081,1045.0,39934.0,596.0,18414.0,75.229,76.073,69.069,57.67,324.0,a-A,25.0,at-A,8.284,a-A,7.44,at-A,1012.0,30398.147,557.0,21390.635,2055.0,86557.658,1012.0,30398.147,751.0,23447.785,25.0,1396.291,99.508,96.524,51.163,54.583,99.084,98.604,99.901,62.317,99.867,99.96,7.44,10.734,a b ɑ
abattent,abat,VER,8.0,4.0,2.0,6.0,2.0,6.21954,2.8,.a.b.a.tt.en.t,.a.b.a.t.#.#,(a-a.b-b.a-a.tt-t.en-#.t-#),.a.b.a.ttent,.a.b.a.t,(a-a.b-b.a-a.ttent-t),attent,at,attent-at,2.0,12.0,100.0,100.0,6.452,1.681,1400.0,43558.0,1339.0,38183.0,86.577,83.718,75.189,65.697,315.0,tt-t,11.0,ttent-t,35.269,en-#,1.294,ttent-t,1012.0,30398.147,1334.0,36098.395,2055.0,86557.658,1012.0,30398.147,2166.0,60995.331,11.0,342.076,99.508,96.524,80.218,76.795,99.084,98.604,99.901,62.317,99.781,99.701,1.294,1.068,a b a t
abattoirs,abatwaR,NC,9.0,7.0,1.29,7.0,3.0,3.10977,3.9,.a.b.a.tt.oi.r.s,.a.b.a.t.wa.R.#,(a-a.b-b.a-a.tt-t.oi-wa.r-R.s-#),.a.b.a.tt.oi.rs,.a.b.a.t.wa.R,(a-a.b-b.a-a.tt-t.oi-wa.rs-R),oirs,waR,oirs-waR,7.0,149.0,58.333,51.064,15.556,6.045,2311.0,83673.0,979.0,28650.0,94.251,93.352,69.221,62.354,254.0,oi-wa,160.0,tt-t,75.595,oi-wa,4.874,tt-t,1012.0,30398.147,2232.0,68990.567,4002.0,210357.889,1012.0,30398.147,1168.0,33042.247,190.0,9332.446,99.508,96.524,92.233,92.044,99.084,96.724,99.901,62.317,75.831,75.574,12.102,9.512,a b a t w a ʁ
abattre,abatR,VER,7.0,5.0,1.4,6.0,2.0,9.32932,2.8,.a.b.a.tt.r.e,.a.b.a.t.R.°,(a-a.b-b.a-a.tt-t.r-R.e-°),.a.b.a.tt.re,.a.b.a.t.R,(a-a.b-b.a-a.tt-t.re-R),attre,atR,attre-atR,3.0,103.0,100.0,100.0,75.0,20.37,2480.0,88083.0,1208.0,38168.0,97.513,95.957,67.708,60.246,315.0,tt-t,160.0,tt-t,91.562,a-a,4.874,tt-t,1012.0,30398.147,2727.0,82430.288,2962.0,168375.764,1012.0,30398.147,1497.0,41572.653,537.0,35725.115,99.508,96.524,96.393,94.805,100.0,100.0,99.901,62.317,68.145,67.501,34.204,36.411,a b a t ʁ
abattu,abaty,"VER,ADJ,NC",6.0,5.0,1.2,5.0,3.0,3.10977,2.65,.a.b.a.tt.u,.a.b.a.t.y,(a-a.b-b.a-a.tt-t.u-y),.a.b.a.tt.u,.a.b.a.t.y,(a-a.b-b.a-a.tt-t.u-y),u,y,u-y,88.0,16696.0,100.0,100.0,32.472,82.996,1157.0,35675.0,1119.0,34364.0,97.022,95.15,67.509,69.738,89.0,u-y,89.0,u-y,91.562,a-a,4.874,tt-t,1012.0,30398.147,1562.0,43758.83,89.0,16702.593,1012.0,30398.147,1497.0,41572.653,89.0,16702.593,99.508,96.524,95.201,93.075,100.0,100.0,99.901,62.317,68.145,67.501,33.209,83.869,a b a t y
abeille,abEj,NC,7.0,4.0,1.75,4.0,2.0,6.21954,2.35,.a.b.eill.e,.a.b.Ej.°,(a-a.b-b.eill-Ej.e-°),.a.b.eille,.a.b.Ej,(a-a.b-b.eille-Ej),eille,Ej,eille-Ej,10.0,177.0,100.0,100.0,32.258,15.703,1203.0,56261.0,591.0,18022.0,92.435,94.437,77.374,60.161,48.0,eill-Ej,11.0,eille-Ej,76.19,eill-Ej,32.353,eille-Ej,1012.0,30398.147,419.0,13135.734,2962.0,168375.764,1012.0,30398.147,751.0,23447.785,11.0,220.795,99.508,96.524,85.116,90.612,100.0,100.0,99.901,62.317,99.867,99.96,32.353,18.205,a b ɛ j
abeilles,abEj,NC,8.0,4.0,2.0,5.0,2.0,15.54886,2.65,.a.b.eill.e.s,.a.b.Ej.°.#,(a-a.b-b.eill-Ej.e-°.s-#),.a.b.eilles,.a.b.Ej,(a-a.b-b.eilles-Ej),eilles,Ej,eilles-Ej,7.0,221.0,100.0,100.0,22.581,19.559,1618.0,65144.0,590.0,18033.0,93.765,94.894,74.432,61.015,48.0,eill-Ej,8.0,eilles-Ej,76.19,eill-Ej,23.529,eilles-Ej,1012.0,30398.147,1025.0,28321.861,4002.0,210357.889,1012.0,30398.147,751.0,23447.785,8.0,251.892,99.508,96.524,90.077,93.741,99.084,96.724,99.901,62.317,99.867,99.96,23.529,20.769,a b ɛ j
abénaquis,abenaki,"NP,NC,ADJ",9.0,7.0,1.29,8.0,4.0,3.10977,4.55,.a.b.é.n.a.qu.i.s,.a.b.e.n.a.k.i.#,(a-a.b-b.é-e.n-n.a-a.qu-k.i-i.s-#),.a.b.é.n.a.qu.is,.a.b.e.n.a.k.i,(a-a.b-b.é-e.n-n.a-a.qu-k.is-i),is,i,is-i,97.0,8297.0,95.098,98.632,17.415,21.56,2277.0,76000.0,1217.0,33549.0,94.514,92.912,72.769,67.904,523.0,qu-k,108.0,is-i,74.122,i-i,17.28,is-i,1012.0,30398.147,2200.0,61206.804,4002.0,210357.889,1012.0,30398.147,1480.0,38746.075,108.0,10716.285,99.508,96.524,92.92,91.674,99.084,96.724,99.901,62.317,78.44,77.885,17.28,23.587,a b e n a k i
abîmé,abime,VER,5.0,5.0,1.0,5.0,3.0,3.10977,2.8,.a.b.î.m.é,.a.b.i.m.e,(a-a.b-b.î-i.m-m.é-e),.a.b.î.m.é,.a.b.i.m.e,(a-a.b-b.î-i.m-m.é-e),é,e,é-e,638.0,12194.0,100.0,100.0,28.843,21.44,777.0,21645.0,738.0,19583.0,98.652,98.11,63.425,55.614,5.0,î-i,5.0,î-i,94.041,b-b,0.128,î-i,1012.0,30398.147,723.0,21610.932,704.0,12995.844,1012.0,30398.147,658.0,18173.594,704.0,12995.844,99.508,96.524,97.917,98.008,100.0,100.0,99.901,62.317,63.515,63.074,26.677,26.53,a b i m e
aboie,abwa,VER,5.0,4.0,1.25,4.0,2.0,3.10977,2.0,.a.b.oi.e,.a.b.wa.#,(a-a.b-b.oi-wa.e-#),.a.b.oie,.a.b.wa,(a-a.b-b.oie-wa),oie,wa,oie-wa,11.0,314.0,100.0,100.0,12.222,2.773,662.0,21241.0,591.0,18037.0,71.434,69.157,70.377,54.874,254.0,oi-wa,10.0,oie-wa,16.592,e-#,11.364,oie-wa,1012.0,30398.147,522.0,20356.63,591.0,13854.118,1012.0,30398.147,751.0,23447.785,10.0,264.332,99.508,96.524,84.818,87.619,16.592,4.866,99.901,62.317,99.867,99.96,11.364,2.345,a b w a
abondaient,ab§dE,VER,10.0,5.0,2.0,7.0,3.0,3.10977,3.45,.a.b.on.d.ai.en.t,.a.b.§.d.E.#.#,(a-a.b-b.on-§.d-d.ai-E.en-#.t-#),.a.b.on.d.aient,.a.b.§.d.E,(a-a.b-b.on-§.d-d.aient-E),aient,E,aient-E,118.0,958.0,100.0,100.0,17.327,1.051,1088.0,34877.0,695.0,18799.0,88.991,87.297,78.131,63.553,650.0,en-#,125.0,aient-E,35.269,en-#,17.313,aient-E,1012.0,30398.147,910.0,25436.807,2055.0,86557.658,1012.0,30398.147,779.0,20871.852,125.0,979.601,99.508,96.524,84.869,83.191,99.084,98.604,99.901,62.317,91.147,84.715,17.313,1.3,a b ɔ̃ d ɛ
abondance,ab§d@s,NC,9.0,6.0,1.5,7.0,3.0,6.21954,3.45,.a.b.on.d.an.c.e,.a.b.§.d.@.s.°,(a-a.b-b.on-§.d-d.an-@.c-s.e-°),.a.b.on.d.an.ce,.a.b.§.d.@.s,(a-a.b-b.on-§.d-d.an-@.ce-s),ance,@s,ance-@s,29.0,896.0,100.0,100.0,26.606,30.094,1246.0,49956.0,678.0,19102.0,89.89,89.353,74.671,64.913,720.0,c-s,145.0,ce-s,39.889,c-s,30.146,ce-s,1012.0,30398.147,949.0,30184.186,2962.0,168375.764,1012.0,30398.147,728.0,19214.596,145.0,7357.728,99.508,96.524,85.944,85.79,100.0,100.0,99.901,62.317,79.495,73.898,30.146,31.568,a b ɔ̃ d ɑ̃ s
abondante,ab§d@t,ADJ,9.0,6.0,1.5,7.0,3.0,18.65863,3.1,.a.b.on.d.an.t.e,.a.b.§.d.@.t.°,(a-a.b-b.on-§.d-d.an-@.t-t.e-°),.a.b.on.d.an.te,.a.b.§.d.@.t,(a-a.b-b.on-§.d-d.an-@.te-t),ante,@t,ante-@t,52.0,1116.0,100.0,100.0,35.616,26.052,1679.0,62676.0,714.0,21016.0,96.18,95.079,76.667,69.45,789.0,b-b,358.0,te-t,83.919,t-t,42.118,te-t,1012.0,30398.147,1555.0,47992.06,2962.0,168375.764,1012.0,30398.147,728.0,19214.596,358.0,18839.025,99.508,96.524,94.75,93.805,100.0,100.0,99.901,62.317,79.495,73.898,42.118,58.793,a b ɔ̃ d ɑ̃ t
abondantes,ab§d@t,ADJ,10.0,6.0,1.67,8.0,3.0,21.7684,3.5,.a.b.on.d.an.t.e.s,.a.b.§.d.@.t.°.#,(a-a.b-b.on-§.d-d.an-@.t-t.e-°.s-#),.a.b.on.d.an.tes,.a.b.§.d.@.t,(a-a.b-b.on-§.d-d.an-@.tes-t),antes,@t,antes-@t,42.0,790.0,100.0,100.0,28.767,18.433,1879.0,67426.0,690.0,18837.0,96.543,95.284,73.823,62.65,789.0,b-b,213.0,tes-t,83.919,t-t,25.059,tes-t,1012.0,30398.147,1669.0,49775.736,4002.0,210357.889,1012.0,30398.147,728.0,19214.596,213.0,5765.551,99.508,96.524,95.625,94.838,99.084,96.724,99.901,62.317,79.495,73.898,25.059,17.993,a b ɔ̃ d ɑ̃ t
abondants,ab§d@,ADJ,9.0,5.0,1.8,7.0,3.0,3.10977,3.25,.a.b.on.d.an.t.s,.a.b.§.d.@.#.#,(a-a.b-b.on-§.d-d.an-@.t-#.s-#),.a.b.on.d.ants,.a.b.§.d.@,(a-a.b-b.on-§.d-d.ants-@),ants,@,ants-@,71.0,2500.0,100.0,100.0,8.237,4.554,1335.0,54815.0,685.0,19114.0,85.045,84.524,76.377,64.511,308.0,t-#,78.0,ants-@,6.889,t-#,8.543,ants-@,1012.0,30398.147,867.0,28590.108,4002.0,210357.889,1012.0,30398.147,779.0,20871.852,78.0,2556.241,99.508,96.524,79.344,79.684,99.084,96.724,99.901,62.317,91.147,84.715,8.543,6.091,a b ɔ̃ d ɑ̃
abonde,ab§d,VER,6.0,4.0,1.5,5.0,2.0,3.10977,2.05,.a.b.on.d.e,.a.b.§.d.°,(a-a.b-b.on-§.d-d.e-°),.a.b.on.de,.a.b.§.d,(a-a.b-b.on-§.de-d),onde,§d,onde-§d,10.0,662.0,100.0,100.0,52.632,71.717,1396.0,57796.0,615.0,18935.0,97.888,97.054,82.619,72.672,789.0,b-b,121.0,de-d,94.041,b-b,56.542,de-d,1012.0,30398.147,1002.0,30068.511,2962.0,168375.764,1012.0,30398.147,664.0,19512.345,121.0,6315.962,99.508,96.524,96.644,96.248,100.0,100.0,99.901,62.317,87.016,77.749,56.542,72.874,a b ɔ̃ d
abondent,ab§d,VER,8.0,4.0,2.0,6.0,2.0,3.10977,2.65,.a.b.on.d.en.t,.a.b.§.d.#.#,(a-a.b-b.on-§.d-d.en-#.t-#),.a.b.on.dent,.a.b.§.d,(a-a.b-b.on-§.dent-d),ondent,§d,ondent-§d,4.0,165.0,100.0,100.0,21.053,17.845,1120.0,36713.0,593.0,17529.0,87.299,85.304,71.988,56.454,650.0,en-#,30.0,dent-d,35.269,en-#,14.019,dent-d,1012.0,30398.147,914.0,25830.656,2055.0,86557.658,1012.0,30398.147,664.0,19512.345,30.0,693.481,99.508,96.524,81.3,79.175,99.084,98.604,99.901,62.317,87.016,77.749,14.019,8.001,a b ɔ̃ d
abonnement,abOnm@,NC,10.0,6.0,1.67,8.0,3.0,3.10977,3.45,.a.b.o.nn.e.m.en.t,.a.b.O.n.°.m.@.#,(a-a.b-b.o-O.nn-n.e-°.m-m.en-@.t-#),.a.b.o.nn.e.m.ent,.a.b.O.n.°.m.@,(a-a.b-b.o-O.nn-n.e-°.m-m.ent-@),ent,@,ent-@,303.0,8885.0,100.0,100.0,35.151,16.181,1401.0,43223.0,934.0,25010.0,91.999,91.99,77.529,70.457,394.0,nn-n,244.0,nn-n,54.259,en-@,19.551,nn-n,1012.0,30398.147,1356.0,38137.376,2055.0,86557.658,1012.0,30398.147,1043.0,27124.813,309.0,9049.468,99.508,96.524,89.567,90.131,99.084,98.604,99.901,62.317,81.791,81.864,33.844,21.564,a b ɔ n m ɑ̃
abord,abOR,NC,5.0,4.0,1.25,5.0,2.0,217.68403,1.9,.a.b.o.r.d,.a.b.O.R.#,(a-a.b-b.o-O.r-R.d-#),.a.b.o.rd,.a.b.O.R,(a-a.b-b.o-O.rd-R),ord,OR,ord-OR,9.0,805.0,100.0,100.0,10.0,16.906,2089.0,64739.0,1036.0,29834.0,95.841,94.197,75.246,65.745,78.0,d-#,35.0,rd-R,89.393,o-O,2.229,rd-R,1012.0,30398.147,3118.0,96005.278,78.0,5283.505,1012.0,30398.147,1548.0,43750.031,35.0,1436.716,99.508,96.524,94.467,92.842,96.296,95.934,99.901,62.317,99.427,99.6,2.229,1.464,a b ɔ ʁ
aborde,abORd,VER,6.0,5.0,1.2,6.0,2.0,12.43909,1.95,.a.b.o.r.d.e,.a.b.O.R.d.°,(a-a.b-b.o-O.r-R.d-d.e-°),.a.b.o.r.de,.a.b.O.R.d,(a-a.b-b.o-O.r-R.de-d),orde,ORd,orde-ORd,5.0,162.0,100.0,100.0,55.556,85.245,2425.0,86471.0,1853.0,52459.0,96.533,95.063,90.295,86.053,789.0,b-b,121.0,de-d,89.393,o-O,56.542,de-d,1012.0,30398.147,2644.0,80012.438,2962.0,168375.764,1012.0,30398.147,2711.0,75193.603,121.0,6315.962,99.508,96.524,94.923,93.463,100.0,100.0,99.901,62.317,98.345,98.358,56.542,72.874,a b ɔ ʁ d
aborder,abORde,VER,7.0,6.0,1.17,6.0,3.0,6.21954,2.5,.a.b.o.r.d.er,.a.b.O.R.d.e,(a-a.b-b.o-O.r-R.d-d.er-e),.a.b.o.r.d.er,.a.b.O.R.d.e,(a-a.b-b.o-O.r-R.d-d.er-e),er,e,er-e,632.0,15089.0,98.596,94.232,28.571,26.531,2065.0,61685.0,1826.0,49872.0,96.289,94.227,87.475,82.695,789.0,b-b,751.0,b-b,89.393,o-O,30.504,er-e,1012.0,30398.147,2644.0,80012.438,805.0,19660.067,1012.0,30398.147,2285.0,62292.919,805.0,19660.067,99.508,96.524,94.923,93.463,98.531,94.982,99.901,62.317,98.611,98.43,30.504,40.134,a b ɔ ʁ d e
abordés,abORde,"VER,ADJ",7.0,6.0,1.17,7.0,3.0,15.54886,2.6,.a.b.o.r.d.é.s,.a.b.O.R.d.e.#,(a-a.b-b.o-O.r-R.d-d.é-e.s-#),.a.b.o.r.d.és,.a.b.O.R.d.e,(a-a.b-b.o-O.r-R.d-d.és-e),és,e,és-e,339.0,4764.0,100.0,100.0,15.325,8.377,2620.0,87978.0,1756.0,47473.0,96.877,95.168,84.791,77.799,789.0,b-b,380.0,és-e,89.393,o-O,14.399,és-e,1012.0,30398.147,2665.0,75018.62,4002.0,210357.889,1012.0,30398.147,2285.0,62292.919,380.0,5268.017,99.508,96.524,95.909,94.586,99.084,96.724,99.901,62.317,98.611,98.43,14.399,10.754,a b ɔ ʁ d e
abracadabrantes,abRakadabR@t,ADJ,15.0,12.0,1.25,14.0,5.0,3.10977,7.9,.a.b.r.a.c.a.d.a.b.r.an.t.e.s,.a.b.R.a.k.a.d.a.b.R.@.t.°.#,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.an-@.t-t.e-°.s-#),.a.b.r.a.c.a.d.a.b.r.an.tes,.a.b.R.a.k.a.d.a.b.R.@.t,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.an-@.tes-t),antes,@t,antes-@t,42.0,790.0,100.0,100.0,28.767,18.433,2791.0,89690.0,2182.0,60266.0,92.902,90.788,86.074,82.383,789.0,b-b,213.0,tes-t,59.224,c-k,25.059,tes-t,1012.0,30398.147,2839.0,84575.005,4002.0,210357.889,1012.0,30398.147,2496.0,68702.95,213.0,5765.551,99.508,96.524,91.837,89.815,99.084,96.724,99.901,62.317,90.793,90.828,25.059,17.993,a b ʁ a k a d a b ʁ ɑ̃ t
abreuvoirs,abR9vwaR,NC,10.0,8.0,1.25,8.0,3.0,3.10977,4.75,.a.b.r.eu.v.oi.r.s,.a.b.R.9.v.wa.R.#,(a-a.b-b.r-R.eu-9.v-v.oi-wa.r-R.s-#),.a.b.r.eu.v.oi.rs,.a.b.R.9.v.wa.R,(a-a.b-b.r-R.eu-9.v-v.oi-wa.rs-R),oirs,waR,oirs-waR,7.0,149.0,58.333,51.064,15.556,6.045,2505.0,91604.0,1224.0,36545.0,91.645,91.301,85.41,80.238,254.0,oi-wa,178.0,oi-wa,64.992,eu-9,12.102,rs-R,1012.0,30398.147,2505.0,82012.774,4002.0,210357.889,1012.0,30398.147,1473.0,43216.69,190.0,9332.446,99.508,96.524,89.094,89.527,99.084,96.724,99.901,62.317,97.173,97.967,12.102,9.512,a b ʁ œ v w a ʁ
