"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL","SUBTLWF","LgSUBTLWF","SUBTLCD","LgSUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","Freq_N","Freq_N_P","Freq_N_PH","Freq_N_OG","Freq_N_OGH","Freq_Greater","Freq_G_Mean","Freq_Less","Freq_L_Mean","Freq_Rel","OLD","OLDF","PLD","PLDF","Concreteness_Rating","Semantic_Neighborhood_Density","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Body_Object_Interaction","Emotional_Valence","Emotional_Arousal","Emotional_Dominance","Assoc_Freq_R1","Assoc_Types_R1","Assoc_Freq_R123","Assoc_Types_R123","BG_Sum","BG_Mean","BG_Freq_By_Pos","Pron","NPhon","NSyll","MorphSp","MorphPr","NMorph","POS","I_Mean_RT","I_Zscore","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_SD","I_NMG_Obs","I_NMG_Mean_Accuracy"
"albino","6","#","860","6.757","1.160","1.778","0.480","1.613","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.800","7.524","3.150","7.445","4.410","0.372","0","1.287","9.790","3.444","4.900","3.090","4.050","1","1","10","8","11,439","2,287.800","1,005","al.b""aI.no","6","3","{albino}","{al.b""aI.no}","1","NN","818.792","0.203","256.529","24","0.80","741.192","-0.089","126.067","26","0.963"
"album","5","6","39,796","10.592","10.240","2.719","3.250","2.438","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.300","7.631","1.900","8.079","4.690","0.647","6,075","0.809","6.720","5.792","6.190","5.630","5.860","33","22","95","46","4,277","1,069.250","408","""al.b@m","5","2","{album}","{""al.b@m}","1","NN","580.500","-0.668","123.786","32","0.94","584.815","-0.567","82.986","27","1.000"
"albumin","7","10","1,082","6.987","0.080","0.699","0.050","0.699","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.950","6.670","3.700","6.750","#","0.429","0","0.797","14.200","#","#","#","#","1","1","2","2","12,544","2,090.667","1,544","al.bj""u.m@n","8","3","{albumin}","{al.bj""u.m@n}","1","NN","708.000","-0.362","169.863","6","0.18","808.625","0.639","123.396","8","0.364"
"albums","6","2","11,973","9.390","2.330","2.079","1.060","1.954","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.600","7.239","2.550","7.600","#","0.627","4,933","0.815","6.720","#","#","#","#","4","3","15","10","4,474","894.800","429","""al.b@mz","6","2","{album}>s>","{""al.b@m}>z>","2","NN","705.000","-0.366","281.390","34","1.00","615.038","-0.442","104.439","26","1.000"
"alchemist","9","#","525","6.263","0.270","1.176","0.120","1.041","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.650","6.563","3.300","5.996","4.230","0.417","0","#","12.000","3.261","#","#","#","3","2","8","4","15,118","1,889.750","1,385","""al.k@.mIst","8","3","{al--chem--ist}","{""al-.-k@.m--Ist}","3","NN","862.667","0.442","276.602","24","0.73","747.542","0.127","206.856","24","1.000"
"alchemy","7","1","1,069","6.974","0.220","1.079","0.110","1.000","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.950","6.442","2.600","7.191","2.100","0.492","0","1.432","13.350","#","#","#","#","9","8","30","25","7,522","1,253.667","812","""al.k@.mi","6","3","{al--chem--y}","{""al-.-k@.m--i}","3","NN","851.300","0.361","456.964","20","0.62","684.708","-0.095","146.198","24","0.889"
"alcohol","7","13","14,209","9.562","16.570","2.927","7.010","2.770","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.350","7.289","3.700","6.740","4.760","0.621","4,980","1.380","9.000","5.833","4.110","5.170","4.000","728","162","2,060","412","8,157","1,359.500","798","""al.k@.hAl","7","3","{alcohol}","{""al.k@.hAl}","1","NN","668.844","-0.470","258.198","32","0.97","585.643","-0.572","113.280","28","1.000"
"alcoholic","9","3","1,824","7.509","6.200","2.501","2.930","2.393","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.700","6.172","4.050","6.074","3.370","0.568","1,014","1.291","9.950","2.625","2.490","5.480","3.270","31","25","88","55","13,197","1,649.625","1,251","%al.k@.h""Al.Ik","9","4","{alcohol}>ic>","{%al.k@.h""Al}.>Ik>","2","JJ|NN","670.121","-0.324","219.353","33","1.00","647.481","-0.346","118.791","27","1.000"
"alcoholics","10","4","993","6.901","1.060","1.740","0.460","1.602","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.100","6.656","4.650","6.565","#","0.412","0","0.991","9.950","#","#","#","#","2","1","4","2","13,298","1,477.556","1,265","%al.k@.h""Al.Iks","10","4","{alcohol}>ic>>s>","{%al.k@.h""Al}.>Ik>>s>","3","NN","867.758","0.240","396.144","33","1.00","676.143","-0.415","126.676","28","1.000"
"alcoholism","10","1","1,023","6.930","0.840","1.643","0.460","1.602","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.200","5.419","5.400","5.470","2.930","0.559","7","1.197","11.600","#","2.000","5.000","3.000","7","5","28","21","14,190","1,576.667","1,260","""al.k@.h%Al.I.zm=","10","5","{alcohol}>ism>","{""al.k@.h%Al}.>I.zm=>","2","NN","759.118","-0.084","266.664","34","0.97","648.038","-0.325","80.120","26","1.000"
"alcohols","8","2","139","4.934","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.350","6.707","3.750","5.912","#","0.489","0","#","#","#","#","#","#","#","#","#","#","8,572","1,224.571","847","""al.k@.hAlz","8","3","{alcohol}>s>","{""al.k@.hAl}>z>","2","NN","766.903","-0.075","389.433","31","0.91","665.000","-0.354","152.367","27","1.000"
"alcove","6","#","264","5.576","0.470","1.398","0.140","1.114","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.500","7.700","2.650","7.222","4.080","0.310","0","1.285","12.110","#","5.500","3.320","5.330","4","3","11","6","8,060","1,612.000","703","""al.kov","5","2","{alcove}","{""al.kov}","1","NN","807.947","0.122","248.899","19","0.56","692.474","-0.081","222.414","19","0.792"
"alcoves","7","5","58","4.060","0.040","0.477","0.020","0.477","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.650","7.133","2.700","6.808","#","0.293","0","#","12.110","#","#","#","#","#","#","#","#","12,549","2,091.500","1,395","""al.kovz","6","2","{alcove}>s>","{""al.kov}>z>","2","NN","817.353","0.263","247.074","17","0.50","715.261","-0.240","154.917","23","0.852"
"alderman","8","1","176","5.170","0.800","1.623","0.170","1.176","2","1","8","1","8","3.0","3.689","3.043","3.689","3.043","0","#","2","3.0","1.70","3.000","6.591","3.550","6.851","#","0.571","1","1.178","14.190","#","4.440","3.050","5.040","1","1","3","3","17,902","2,557.429","2,645","""Ol.d@`.m@n","7","3","{alder--man}","{""Ol.d@`-.-m@n}","2","NN","939.474","0.528","530.950","19","0.58","759.704","0.150","262.591","27","0.964"
"aldermen","8","2","11","2.398","0.020","0.301","0.010","0.301","1","1","8","0","7","5.2","3.689","4.430","#","5.170","1","5.2","0","#","0.46","3.200","6.378","3.550","6.851","#","0.429","0","1.101","14.190","#","#","#","#","#","#","1","1","18,296","2,613.714","2,728","""Ol.d@`.m@n","7","3","{alder--men}","{""Ol.d@`-.-m@n}","2","NN","892.150","0.608","198.174","20","0.67","793.556","0.181","333.058","27","1.000"
"ale","3","1","4,919","8.501","3.960","2.308","1.470","2.093","11","21","23","6","6","9.3","8.981","8.821","9.757","9.757","5","11.6","6","7.4","0.91","1.000","8.948","1.000","9.585","4.650","0.531","0","1.185","10.160","4.963","5.950","4.100","5.170","47","20","136","52","6,480","3,240.000","499","""el","2","1","{ale}","{""el}","1","NN","698.600","-0.336","419.559","30","0.88","601.040","-0.493","104.257","25","0.926"
"alehouse","8","#","9","2.197","0.020","0.301","0.010","0.301","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.800","4.718","2.750","5.021","4.400","0.204","0","#","13.760","3.417","#","#","#","1","1","2","2","12,981","1,854.429","1,147","""el.h%aUs","5","2","{ale}{house}","{""el}.{h%aUs}","2","NN","1,136.615","0.995","394.201","13","0.38","833.615","0.561","205.949","26","1.000"
"alert","5","33","8,982","9.103","20.610","3.022","7.840","2.819","1","5","5","1","1","7.0","6.453","6.453","7.044","7.044","0","#","1","7.0","1.29","1.850","7.120","1.800","7.134","2.590","0.583","2,161","1.987","8.900","1.840","5.380","5.140","6.580","121","56","383","166","13,645","3,411.250","1,181","@.l""3`t","4","2","{alert}","{@.l""3`t}","1","JJ|NN|VB","582.750","-0.703","167.008","32","0.97","541.269","-0.867","97.788","26","0.963"
"alerted","7","3","637","6.457","1.780","1.964","1.000","1.929","1","7","7","1","1","5.9","5.998","5.998","5.905","5.905","0","#","1","5.9","1.09","2.150","6.516","2.200","6.193","#","0.512","0","1.810","8.900","#","#","#","#","#","#","3","3","22,525","3,754.167","2,578","@.l""3`4.@d","6","3","{alert}>ed>","{@.l""3`4}.>@d>","2","VB","724.844","-0.301","335.575","32","0.97","623.963","-0.606","193.069","27","0.964"
"alerting","8","4","332","5.805","0.350","1.279","0.210","1.279","1","4","4","1","1","4.5","5.655","5.655","4.533","4.533","0","#","1","4.5","1.28","2.450","6.781","2.100","6.691","#","0.392","0","2.020","8.900","#","#","#","#","1","1","3","3","29,236","4,176.571","3,502","@.l""3`4.IN","6","3","{alert}>ing>","{@.l""3`4}.>IN>","2","VB","685.375","-0.349","258.500","32","0.94","658.960","-0.362","182.731","25","0.962"
"alertly","7","1","13","2.565","0.040","0.477","0.010","0.301","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.800","6.475","2.850","6.948","2.070","0.193","0","#","#","#","#","#","#","#","#","#","#","15,609","2,601.500","1,425","@.l""3`t.li","6","3","{alert}>ly>","{@.l""3`t}.>li>","2","RB","773.292","0.080","240.431","24","0.73","685.885","-0.018","195.630","26","0.963"
"alertness","9","2","217","5.380","0.080","0.699","0.050","0.699","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.000","4.756","2.950","5.453","2.150","0.333","0","1.522","9.440","#","#","#","#","4","3","9","7","22,044","2,755.500","2,307","@.l""3`t.n@s","7","3","{alert}>ness>","{@.l""3`t}.>n@s>","2","NN","756.219","-0.220","254.176","32","1.00","681.000","-0.214","180.000","26","1.000"
"alerts","6","1","1,097","7.000","0.270","1.176","0.170","1.176","0","1","1","0","0","#","6.901","6.901","#","#","#","#","#","#","#","2.000","7.195","2.150","6.950","#","0.484","0","1.863","8.900","#","#","#","#","1","1","4","4","14,651","2,930.200","1,329","@.l""3`ts","5","2","{alert}>s>","{@.l""3`t}>s>","2","VB|NN","678.312","-0.424","255.383","32","1.00","561.929","-0.621","182.714","28","1.000"
"Alex","4","30","18,548","9.828","#","#","#","#","2","3","3","0","0","7.5","6.368","6.368","#","#","0","#","2","7.5","1.32","1.850","7.946","1.850","7.491","#","0.648","6,313","#","#","#","#","#","#","7","6","14","13","7,084","2,361.333","541","""a.lIks","5","2","{alex}","{""a.lIks}","1","NN","586.206","-0.686","134.982","34","1.00","569.192","-0.720","68.781","26","0.963"
"Alexander","9","45","15,618","9.656","9.510","2.687","1.940","2.215","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.250","6.512","4.800","6.133","#","0.661","7,192","#","#","#","#","#","#","10","7","28","15","21,154","2,644.250","1,607","%a.lIg.z""an.4@`","9","4","{alexander}","{%a.lIg.z""an.4@`}","1","NN","698.576","-0.296","221.404","33","1.00","614.750","-0.552","88.473","28","1.000"
"Alexander's","11","3","423","6.047","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","22,350","2,235.000","1,696","%a.lIg.z""an.4@`z","10","4","{alexander}>'s>","{%a.lIg.z""an.4@`}>z>","2","encl","823.588","0.043","419.207","34","0.97","689.250","-0.421","166.615","28","1.000"
"Alexandria","10","4","4,994","8.516","0.750","1.591","0.310","1.431","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.850","6.990","6.600","6.251","#","0.586","2,241","#","#","#","#","#","#","1","1","2","2","16,781","1,864.556","1,322","%a.lIg.z""an.dri@","11","4","{alexandria}","{%a.lIg.z""an.dri@}","1","NN","719.676","-0.123","300.694","34","1.00","665.857","-0.405","124.452","28","1.000"
"Alexei","6","1","933","6.838","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.850","7.025","2.800","7.316","#","0.456","0","#","#","#","#","#","#","#","#","#","#","7,467","1,493.400","579","@.l""Ek.si","6","3","{alexei}","{@.l""Ek.si}","1","NN","1,035.846","0.588","450.901","13","0.42","720.857","0.105","232.986","14","0.538"
"Alexis","6","2","1,464","7.289","#","#","#","#","1","0","0","0","0","6.3","#","0.000","#","#","0","#","1","6.3","1.15","2.650","7.290","2.950","7.462","#","0.569","449","#","#","#","#","#","#","#","#","1","1","9,988","1,997.600","868","@.l""Ek.sIs","7","3","{alexis}","{@.l""Ek.sIs}","1","NN","704.121","-0.257","239.689","33","0.94","700.407","-0.106","250.789","27","1.000"
"Alex's","6","10","567","6.340","#","#","#","#","1","0","0","0","0","7.3","#","0.000","#","#","1","7.3","0","#","0.87","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","8,112","1,622.400","683","""a.lIks.@z","7","3","{alex}>'s>","{""a.lIks}.>@z>","2","encl","651.471","-0.530","200.392","34","1.00","630.538","-0.450","218.305","26","0.897"
"alfalfa","7","#","448","6.105","0.650","1.532","0.330","1.462","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.750","7.237","3.950","7.211","4.690","0.397","0","#","8.830","5.045","4.790","3.670","5.730","3","2","8","5","7,186","1,197.667","629","al.f""al.f@","7","3","{alfalfa}","{al.f""al.f@}","1","NN","934.542","0.637","273.750","24","0.71","806.476","0.476","148.900","21","0.875"
"Alfonso","7","1","725","6.586","0.860","1.653","0.150","1.146","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.050","7.250","3.950","7.482","#","0.566","96","#","#","#","#","#","#","#","#","1","1","10,999","1,833.167","877","al.f""An.so","7","3","{alfonso}","{al.f""An.so}","1","NN","788.962","0.154","320.334","26","0.81","667.692","-0.280","217.100","26","0.963"
"Alfred","6","52","3,504","8.162","7.290","2.572","1.190","2.004","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.300","7.103","2.900","7.054","#","0.634","5,471","#","#","#","#","#","#","#","#","7","7","12,570","2,514.000","1,522","""al.fr@d","6","2","{alfred}","{""al.fr@d}","1","NN","728.424","-0.183","181.830","33","1.00","633.964","-0.365","119.743","28","1.000"
"alfredo","7","3","823","6.713","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.900","7.093","3.750","7.095","#","0.545","0","#","#","#","#","#","#","#","#","1","1","13,158","2,193.000","1,575","al.fr""e.4o","7","3","{alfredo}","{al.fr""e.4o}","1","NN","811.333","-0.001","269.232","33","1.00","667.036","-0.222","168.085","28","1.000"
"Alfred's","8","3","38","3.638","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","13,658","1,951.143","1,760","""al.fr@dz","7","2","{alfred}>'s>","{""al.fr@d}>z>","2","encl","727.242","-0.252","252.523","33","0.97","587.407","-0.441","93.450","27","0.964"
"alga","4","#","66","4.190","#","#","#","#","1","3","3","1","1","7.5","8.576","8.576","7.494","7.494","1","7.5","0","#","0.56","1.900","8.191","1.850","7.857","#","0.343","0","#","13.330","#","#","#","#","#","#","1","1","3,730","1,243.333","363","""al.g@","4","2","{alg--a}","{""al.g--@}","2","NN","873.625","0.113","431.174","8","0.23","763.278","0.145","248.705","18","0.720"
"algae","5","7","2,276","7.730","0.430","1.362","0.230","1.301","0","1","1","0","0","#","4.190","4.190","#","#","#","#","#","#","#","1.950","8.138","1.850","7.104","4.930","0.568","16","0.876","13.330","4.458","#","#","#","9","8","45","26","3,790","947.500","371","""al.gi","4","2","{alg--ae}","{""al.g--i}","2","NN","726.815","-0.031","167.844","27","0.82","767.370","0.248","186.946","27","0.964"
"algaecide","9","1","3","1.099","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.350","6.603","4.150","5.620","#","0.161","0","#","#","#","#","#","#","#","#","#","#","9,525","1,190.625","916","""al.dZI.s%aId","7","3","{alg--ae--cide}","{""al.dZ--I-.-s%aId}","3","NN","1,504.000","1.893","377.199","3","0.10","1,201.750","1.185","307.068","4","0.333"
"algebra","7","2","2,526","7.834","1.760","1.959","0.820","1.845","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.100","7.229","4.050","6.020","3.140","0.583","137","1.040","11.470","#","5.400","4.600","4.540","77","37","228","77","8,251","1,375.167","828","""al.dZ@.br@","7","3","{algebra}","{""al.dZ@.br@}","1","NN","697.387","-0.402","177.658","31","0.94","607.143","-0.449","130.217","28","1.000"
"algebraic","9","1","936","6.842","0.060","0.602","0.040","0.602","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.200","6.422","5.350","5.712","2.620","0.590","84","0.643","11.110","#","#","#","#","2","1","6","3","11,462","1,432.750","1,104","%al.dZ@.br""e.Ik","9","4","{algebra}>ic>","{%al.dZ@.br""e$}.>Ik>","2","JJ","813.000","0.057","306.387","26","0.84","781.179","0.257","155.227","28","1.000"
"algebraically","13","3","72","4.277","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","5.650","5.771","6.150","5.570","2.290","0.510","0","#","#","#","#","#","#","#","#","#","#","19,490","1,624.167","1,467","%al.dZ@.br""e.Ik.li","11","5","{algebra}>ic>>ally>","{%al.dZ@.br""e$}.>Ik>.>li>","3","RB","975.333","0.609","351.362","24","0.83","848.480","0.813","205.393","25","0.926"
"Algeria","7","2","1,251","7.132","0.450","1.380","0.170","1.176","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.700","6.867","3.450","6.448","#","0.574","602","1.171","#","#","#","#","#","2","2","2","2","14,483","2,413.833","2,406","al.dZ""I.ri@","7","3","{algeria}","{al.dZ""I.ri@}","1","NN","846.690","-0.021","415.268","29","0.88","795.654","0.133","283.819","26","0.963"
"Algerian","8","5","500","6.215","0.410","1.342","0.150","1.146","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.650","6.464","3.550","6.572","#","0.558","18","1.087","#","#","#","#","#","#","#","#","#","17,966","2,566.571","2,770","al.dZ""I.ri@n","8","3","{algeria}>n>","{al.dZ""I.ri@}>n>","2","JJ|NN","804.531","0.053","376.929","32","0.94","919.273","0.515","311.008","22","0.917"
"Algerians","9","#","84","4.431","0.080","0.699","0.040","0.602","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","3.300","6.275","4.350","6.258","#","0.336","0","#","#","#","#","#","#","#","#","#","#","19,822","2,477.750","2,892","al.dZ""I.ri@nz","9","3","{algeria}>n>>s>","{al.dZ""I.ri@}>n>>z>","3","NN","823.269","0.165","192.175","26","0.79","777.160","0.216","201.430","25","0.926"
"algorithm","9","1","10,946","9.301","0.530","1.447","0.240","1.322","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","4.500","6.428","5.400","6.477","3.070","0.590","1,549","0.826","14.560","#","5.300","3.700","4.040","11","11","51","44","12,684","1,585.500","1,628","""al.g@`.r%I.D@m","9","4","{algorithm}","{""al.g@`.r%I.D@m}","1","NN","932.857","0.668","298.621","21","0.66","818.864","0.380","248.958","22","0.880"
"alias","5","1","22,466","10.020","4.080","2.320","1.850","2.193","0","1","1","0","0","#","9.962","9.962","#","#","#","#","#","#","#","1.950","7.760","1.950","6.417","2.860","0.576","1,255","1.829","9.470","#","5.000","4.710","5.940","11","5","34","17","8,384","2,096.000","684","""e.li@s","5","2","{alias}","{""e.li@s}","1","NN|VB|JJ","813.355","-0.138","481.055","31","0.89","696.905","-0.020","147.704","21","0.808"
"alibi","5","8","333","5.808","8.350","2.630","2.970","2.398","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.500","7.446","3.400","5.402","2.570","0.412","0","1.228","12.500","#","4.160","4.500","5.170","12","8","37","26","6,807","1,701.750","598","""a.l@.b%aI","5","3","{alibi}","{""a.l@.b%aI}","1","NN","731.889","-0.066","196.061","27","0.79","710.786","-0.036","183.438","28","1.000"
"alibis","6","1","63","4.143","1.140","1.771","0.600","1.708","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.650","7.112","3.450","4.876","#","0.236","0","#","12.500","#","#","#","#","#","#","#","#","9,581","1,916.200","910","""a.l@.b%aIz","6","3","{alibi}>s>","{""a.l@.b%aI}>z>","2","NN","921.667","0.675","394.356","18","0.55","939.722","0.695","416.634","18","0.692"
"Alice","5","14","5,711","8.650","26.510","3.131","3.830","2.508","3","7","7","0","0","8.9","6.990","6.990","#","#","1","9.9","2","8.4","0.97","1.750","8.391","1.300","7.575","#","0.639","6,055","1.465","#","#","#","#","#","72","21","115","43","9,736","2,434.000","928","""a.l@s","4","2","{alice}","{""a.l@s}","1","NN","646.636","-0.462","173.542","33","0.97","623.074","-0.616","181.123","27","1.000"
"Alicia","6","4","1,099","7.002","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.700","7.234","2.650","7.167","#","0.559","118","#","#","#","#","#","#","2","2","7","4","10,210","2,042.000","917","@.l""I.S@","5","3","{alicia}","{@.l""I.S@}","1","NN","763.034","-0.068","328.590","29","0.85","691.370","-0.319","187.569","27","0.931"
"alien","5","16","21,215","9.962","17.430","2.949","3.800","2.505","2","1","1","0","0","8.4","10.020","10.020","#","#","0","#","2","8.4","1.18","1.800","7.635","1.850","7.412","3.520","0.626","5,416","1.787","7.500","#","4.450","4.860","3.560","265","63","601","162","10,881","2,720.250","1,118","""e.li@n","5","2","{alien}","{""e.li@n}","1","JJ|NN","565.212","-0.722","161.466","33","1.00","606.208","-0.595","104.642","24","1.000"
"alienable","9","#","4","1.386","#","#","#","#","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.800","5.824","3.650","5.789","1.820","0.242","0","#","#","#","#","#","#","#","#","#","#","17,910","2,238.750","1,643","""e.li@n.@.bl=","8","4","{alien}>able>","{""e.li@n}.>@.bl=>","2","JJ","815.103","0.161","311.435","29","0.91","727.583","0.241","200.244","24","0.889"
"alienate","8","2","565","6.337","0.570","1.477","0.330","1.462","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.700","6.006","2.700","6.515","1.830","0.340","0","1.807","13.050","#","2.790","4.270","3.710","4","3","13","11","20,884","2,983.429","2,386","""e.li@n.et","7","3","{alien}>ate>","{""e.li@n}.>et>","2","VB","815.121","-0.010","450.170","33","0.97","713.000","-0.121","153.152","25","1.000"
"alienated","9","6","635","6.454","0.800","1.623","0.480","1.613","1","0","0","0","0","4.5","#","0.000","#","#","0","#","1","4.5","1.42","2.750","6.050","3.350","6.552","#","0.513","0","1.701","13.050","#","#","#","#","2","2","17","16","25,369","3,171.125","3,001","""e.li@n.%e4.@d","9","4","{alien}>ate>>ed>","{""e.li@n}.>%e4>.>@d>","3","VB|JJ","795.355","-0.001","294.208","31","0.97","742.429","0.148","186.191","28","1.000"
"alienates","9","1","93","4.533","#","#","#","#","1","0","0","0","0","6.5","#","0.000","#","#","1","6.5","0","#","0.70","3.200","6.482","3.250","6.824","#","0.233","0","#","#","#","#","#","#","#","#","#","#","25,373","3,171.625","2,801","""e.li@n.ets","8","3","{alien}>ate>>s>","{""e.li@n}.>et>>s>","3","VB","802.200","0.052","338.780","30","0.88","707.577","-0.187","121.135","26","1.000"
"alienation","10","22","462","6.136","0.430","1.362","0.240","1.322","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","2.850","6.438","3.400","6.468","1.730","0.496","0","1.585","13.470","#","2.530","5.140","3.330","1","1","9","8","28,380","3,153.333","3,491","%e.li@n.""e.Sn=","8","4","{alien}>ation>","{%e.li@n}.>""e.Sn=>","2","NN","784.061","0.160","333.071","33","0.97","716.720","-0.124","188.481","25","1.000"
"aliens","6","3","11,773","9.374","9.630","2.692","2.560","2.334","0","0","0","0","0","#","#","0.000","#","#","#","#","#","#","#","1.900","7.548","2.300","6.991","3.860","0.586","2,372","1.540","8.578","#","#","#","#","93","50","261","120","12,737","2,547.400","1,297","""e.li@nz","6","2","{alien}>s>","{""e.li@n}>z>","2","NN","702.939","-0.364","388.946","33","0.97","614.929","-0.602","89.510","28","1.000"
"alight","6","3","112","4.718","0.410","1.342","0.210","1.279","4","10","10","4","4","8.6","8.376","8.376","8.645","8.645","4","8.6","0","#","0.55","1.700","8.509","1.500","8.792","2.960","0.380","0","1.763","11.410","#","5.670","3.860","5.880","13","12","31","22","7,441","1,488.200","794","@.l""aIt","4","2","{alight}","{@.l""aIt}","1","JJ|VB","815.533","0.320","324.322","15","0.47","812.000","0.236","359.293","22","0.846"
"align","5","2","1,452","7.281","0.670","1.544","0.360","1.491","1","5","5","0","0","10.0","8.573","8.573","#","#","1","10.0","0","#","0.73","1.900","7.774","1.650","8.211","2.790","0.491","0","1.739","9.850","1.720","5.950","3.320","5.950","11","9","47","31","6,874","1,718.500","643","@.l""aIn","4","2","{a--lign}","{@-.-l""aIn}","2","VB","673.963","-0.362","152.655","27","0.84","636.852","-0.336","109.351","27","1.000"
"aligned","7","6","1,769","7.478","0.780","1.613","0.430","1.568","0","2","2","0","0","#","9.404","9.404","#","#","#","#","#","#","#","2.550","6.921","1.700","7.978","#","0.574","1,259","1.640","9.850","#","#","#","#","8","7","29","22","13,634","2,272.333","1,740","@.l""aInd","5","2","{a--lign}>ed>","{@-.-l""aIn}>d>","3","VB","715.345","-0.282","204.151","29","0.91","602.440","-0.546","106.274","25","0.926"
"aligning","8","1","335","5.814","0.120","0.845","0.070","0.845","0","1","1","0","0","#","7.345","7.345","#","#","#","#","#","#","#","2.700","6.896","1.900","8.258","#","0.373","0","1.767","9.850","#","#","#","#","#","#","#","#","19,206","2,743.714","2,645","@.l""aIn.IN","6","3","{a--lign}>ing>","{@-.-l""aIn}.>IN>","3","VB","869.724","0.117","300.929","29","0.85","741.360","0.001","260.758","25","0.962"
"alignment","9","4","4,132","8.327","1.310","1.833","0.560","1.681","0","1","1","0","0","#","8.991","8.991","#","#","#","#","#","#","#","2.750","6.260","2.650","6.145","3.260","0.583","1,823","1.550","11.760","#","6.000","3.920","6.320","6","5","22","18","15,536","1,942.000","1,579","@.l""aIn.m@nt","8","3","{a--lign}>ment>","{@-.-l""aIn}.>m@nt>","3","NN","697.562","-0.237","183.048","32","0.97","669.962","-0.300","140.896","26","1.000"
"alignments","10","1","464","6.140","0.020","0.301","0.010","0.301","0","1","1","0","0","#","8.531","8.531","#","#","#","#","#","#","#","3.300","6.404","2.950","6.525","#","0.453","0","1.367","11.760","#","#","#","#","#","#","#","#","16,542","1,838.000","1,667","@.l""aIn.m@nts","9","3","{a--lign}>ment>>s>","{@-.-l""aIn}.>m@nt>>s>","4","NN","785.000","-0.012","306.353","34","1.00","680.571","-0.155","148.101","28","1.000"
"alike","5","20","5,595","8.630","11.350","2.763","5.750","2.684","2","3","3","1","1","9.3","7.301","7.301","9.903","9.903","2","9.3","0","#","0.93","1.850","7.748","1.800","8.393","2.380","0.596","3,006","2.136","6.115","#","#","#","#","101","31","246","78","6,800","1,700.000","794","@.l""aIk","4","2","{a--like}","{@-.-l""aIk}","2","JJ","646.065","-0.468","182.309","31","0.97","563.143","-0.765","116.473","28","1.000"
