Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy,Word_IPA
ability,7,74,"56,922",10.949,19.220,2.992,8.090,2.833,1,1,1,1,1,7.1,7.113,7.113,7.113,7.113,0,#,1,7.1,1.54,2.300,6.378,2.300,6.421,1.810,0.669,"7,553",2.059,8.840,#,7.000,4.850,6.550,156,62,478,184,"8,681","1,446.833","1,227","@.b""Il.@.4i",7,4,{able}>ity>,"{@.b""Il$}.>@.4i>",2,NN,619.677,-0.481,186.539,31,0.97,583.037,-0.721,82.312,27,1.0, ɐ b ɪ l ə ɾ i 
abject,6,3,505,6.225,0.390,1.322,0.240,1.322,1,0,0,0,0,10.9,#,0.0,#,#,1,10.9,0,#,0.57,2.350,7.945,2.750,7.454,1.670,0.294,0,1.876,14.000,#,4.000,3.940,4.350,3,3,8,7,"3,622",724.400,616,"""ab.dZEkt",6,2,{abject},"{""ab.dZEkt}",1,JJ,692.667,0.069,162.770,9,0.28,768.385,0.105,215.740,26,0.929, æ b dʒ ɛ k t 
ablaze,6,3,154,5.037,0.410,1.342,0.230,1.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.250,7.215,1.950,6.720,3.820,0.387,0,1.664,10.830,2.080,5.150,6.750,4.580,#,#,4,4,"4,813",962.600,392,"@.bl""ez",5,2,{a--blaze},"{@-.-bl""ez}",2,JJ,740.727,0.145,175.111,22,0.65,644.360,-0.216,172.522,25,0.926, ɐ b l eɪ z 
able,4,216,"176,528",12.081,159.900,3.912,51.080,3.632,2,2,5,0,0,6.5,8.062,7.681,#,#,0,#,2,6.5,1.86,1.500,7.614,1.550,7.814,2.380,0.685,"8,430",2.234,7.790,1.720,6.640,3.380,6.170,326,89,630,187,"5,602","1,867.333",480,"""e.bl=",3,2,{able},"{""e.bl=}",1,JJ,623.303,-0.497,214.579,33,1.0,628.214,-0.596,198.355,28,1.0, eɪ b əl 
ably,4,2,256,5.545,0.180,1.000,0.110,1.000,2,0,0,0,0,10.0,#,0.0,#,#,2,10.0,0,#,0.55,1.900,8.007,1.900,8.235,1.780,0.312,0,1.767,#,#,#,#,#,#,#,2,2,"3,730","1,243.333",210,"""e.bli",4,2,{able}>y>,"{""e.bl}>i>",2,RB,796.143,0.141,297.961,14,0.42,773.833,0.335,234.522,24,0.857, eɪ b l i 
abnormal,8,3,"2,204",7.698,2.900,2.173,1.530,2.111,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.100,6.879,3.350,7.234,2.140,0.565,79,1.478,10.050,#,3.530,4.480,4.700,35,19,137,76,"9,895","1,413.571","1,374","ab.n""Or.ml=",7,3,<ab<{norm--al},"<ab<.{n""Or.m--l=}",3,JJ,684.909,-0.185,234.306,33,1.0,673.385,-0.312,223.402,26,1.0, ɐ b n ɔːɹ m əl 
abnormalities,13,1,644,6.468,0.490,1.415,0.270,1.380,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.600,5.566,5.200,5.352,#,0.565,6,1.110,11.580,#,#,#,#,#,#,#,#,"25,339","2,111.583","1,962","%ab.nOr.m""al.@.4iz",12,5,<ab<{norm--al}>ity>>s>,"<%ab<.{nOr.m--""al$}.>@.4i>>z>",5,NN,898.367,0.265,266.686,30,0.91,724.481,0.206,194.736,27,1.0, ɐ b n ɔːɹ m æ l ᵻ ɾ i z 
abnormality,11,#,291,5.673,0.510,1.431,0.240,1.322,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.600,6.065,4.450,5.805,2.480,0.476,0,1.267,11.580,#,3.050,5.000,3.960,1,1,9,7,"15,522","1,552.200","1,671","%ab.nOr.m""al.@.4i",11,5,<ab<{norm--al}>ity>,"<%ab<.{nOr.m--""al$}.>@.4i>",4,NN,781.441,0.034,273.599,34,1.0,671.480,-0.315,178.424,25,0.926, ɐ b n ɔːɹ m æ l ᵻ ɾ i 
abnormally,10,1,372,5.919,0.390,1.322,0.230,1.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.500,6.550,3.550,7.140,1.750,0.439,0,1.726,#,#,#,#,#,1,1,3,1,"13,056","1,450.667","1,675","ab.n""Or.ml=.i",8,4,<ab<{norm--al}>ly>,"<ab<.{n""Or.m--l=}.>i>",4,RB,843.258,0.020,402.402,31,0.97,639.040,-0.287,132.361,25,0.962, ɐ b n ɔːɹ m əl i 
aboard,6,25,"3,721",8.222,26.630,3.133,8.450,2.851,0,5,5,0,0,#,8.294,8.294,#,#,#,#,#,#,#,2.300,7.400,1.600,8.078,3.970,0.612,"4,090",1.387,8.662,1.760,#,#,#,1,1,7,7,"5,783","1,156.600",604,"@.b""Ord",5,2,{aboard},"{@.b""Ord}",1,minor|RB,628.161,-0.521,220.017,31,0.94,654.870,-0.481,233.891,23,0.885, ɐ b ɔːɹ d 
abode,5,4,486,6.186,0.650,1.532,0.370,1.505,3,2,2,1,1,8.4,6.274,6.274,7.584,7.584,2,9.8,1,5.5,0.74,1.800,7.582,1.850,7.630,3.920,0.438,0,1.648,12.060,3.435,5.280,2.900,5.050,9,9,69,31,"4,906","1,226.500",657,"@.b""od",4,2,{abode},"{@.b""od}",1,NN,855.833,0.269,332.044,30,0.88,665.958,-0.302,175.014,24,0.889, ɐ b oʊ d 
abolish,7,8,"1,606",7.382,0.470,1.398,0.250,1.342,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.800,6.045,2.800,6.430,2.190,0.528,0,1.736,10.420,#,3.840,4.180,4.650,5,5,15,14,"9,870","1,645.000","1,234","@.b""A.lIS",6,3,{abolish},"{@.b""A.lIS}",1,VB,703.219,-0.260,229.564,32,0.97,654.759,-0.461,137.099,29,1.0, ɐ b ɑː l ɪ ʃ 
abolished,9,2,"1,458",7.285,0.390,1.322,0.210,1.279,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.400,6.553,3.100,6.751,#,0.582,"1,478",1.772,10.420,#,#,#,#,#,#,1,1,"16,104","2,013.000","1,955","@.b""A.lISt",7,3,{abolish}>ed>,"{@.b""A.lIS}>t>",2,VB,664.625,-0.361,223.124,32,0.97,659.321,-0.337,173.894,28,1.0, ɐ b ɑː l ɪ ʃ t 
