,,grammatical,number of,number of,graphemic,number of,number of,EQOL,Levenstein,Grapheme-Phoneme segmentation,,,Phoneme-Grapheme segmentation,,,Rime segmentation,,,Rime match frequency,,Ortho-Phono rime consistency,,Phono-Ortho rime consistency,,G-Ph frequency,,Ph-G frequency,,G-Ph consistency,,Ph-G consistency,,Least frequent G-Ph,,Least frequent Ph-G,,Least consistent G-Ph,,Least consistent Ph-G,,Frequency initial G-Ph,,Mean frequency internal G-Ph,,Frequency final G-Ph,,Frequency initial Ph-G,,Mean frequency internal Ph-G,,Frequency final Ph-G,,Consistency initial G-Ph,,Mean consistency internal G-Ph,,Consistency final G-Ph,,Consistency initial Ph-G,,Mean Consistencyinternal Ph-G,,Consistency final Ph-G,
abat,abA,"NC,VER",4,3,1.33,4,2,3.10977,1.9,.a.b.a.t,.a.b.A.#,(a-a.b-b.a-A.t-#),.a.b.at,.a.b.A,(a-a.b-b.at-A),at,A,at-A,25,1396,96.154,99.557,7.837,10.081,1045,39934,596,18414,75.229,76.073,69.069,57.67,324,a-A,25,at-A,8.284,a-A,7.44,at-A,1012,30398.147,557,21390.635,2055,86557.658,1012,30398.147,751,23447.785,25,1396.291,99.508,96.524,51.163,54.583,99.084,98.604,99.901,62.317,99.867,99.96,7.44,10.734
abattent,abat,VER,8,4,2,6,2,6.21954,2.8,.a.b.a.tt.en.t,.a.b.a.t.#.#,(a-a.b-b.a-a.tt-t.en-#.t-#),.a.b.a.ttent,.a.b.a.t,(a-a.b-b.a-a.ttent-t),attent,at,attent-at,2,12,100,100,6.452,1.681,1400,43558,1339,38183,86.577,83.718,75.189,65.697,315,tt-t,11,ttent-t,35.269,en-#,1.294,ttent-t,1012,30398.147,1334,36098.395,2055,86557.658,1012,30398.147,2166,60995.331,11,342.076,99.508,96.524,80.218,76.795,99.084,98.604,99.901,62.317,99.781,99.701,1.294,1.068
abattoirs,abatwaR,NC,9,7,1.29,7,3,3.10977,3.9,.a.b.a.tt.oi.r.s,.a.b.a.t.wa.R.#,(a-a.b-b.a-a.tt-t.oi-wa.r-R.s-#),.a.b.a.tt.oi.rs,.a.b.a.t.wa.R,(a-a.b-b.a-a.tt-t.oi-wa.rs-R),oirs,waR,oirs-waR,7,149,58.333,51.064,15.556,6.045,2311,83673,979,28650,94.251,93.352,69.221,62.354,254,oi-wa,160,tt-t,75.595,oi-wa,4.874,tt-t,1012,30398.147,2232,68990.567,4002,210357.889,1012,30398.147,1168,33042.247,190,9332.446,99.508,96.524,92.233,92.044,99.084,96.724,99.901,62.317,75.831,75.574,12.102,9.512
abattre,abatR,VER,7,5,1.4,6,2,9.32932,2.8,.a.b.a.tt.r.e,.a.b.a.t.R.°,(a-a.b-b.a-a.tt-t.r-R.e-°),.a.b.a.tt.re,.a.b.a.t.R,(a-a.b-b.a-a.tt-t.re-R),attre,atR,attre-atR,3,103,100,100,75,20.37,2480,88083,1208,38168,97.513,95.957,67.708,60.246,315,tt-t,160,tt-t,91.562,a-a,4.874,tt-t,1012,30398.147,2727,82430.288,2962,168375.764,1012,30398.147,1497,41572.653,537,35725.115,99.508,96.524,96.393,94.805,100,100,99.901,62.317,68.145,67.501,34.204,36.411
abattu,abaty,"VER,ADJ,NC",6,5,1.2,5,3,3.10977,2.65,.a.b.a.tt.u,.a.b.a.t.y,(a-a.b-b.a-a.tt-t.u-y),.a.b.a.tt.u,.a.b.a.t.y,(a-a.b-b.a-a.tt-t.u-y),u,y,u-y,88,16696,100,100,32.472,82.996,1157,35675,1119,34364,97.022,95.15,67.509,69.738,89,u-y,89,u-y,91.562,a-a,4.874,tt-t,1012,30398.147,1562,43758.83,89,16702.593,1012,30398.147,1497,41572.653,89,16702.593,99.508,96.524,95.201,93.075,100,100,99.901,62.317,68.145,67.501,33.209,83.869
abeille,abEj,NC,7,4,1.75,4,2,6.21954,2.35,.a.b.eill.e,.a.b.Ej.°,(a-a.b-b.eill-Ej.e-°),.a.b.eille,.a.b.Ej,(a-a.b-b.eille-Ej),eille,Ej,eille-Ej,10,177,100,100,32.258,15.703,1203,56261,591,18022,92.435,94.437,77.374,60.161,48,eill-Ej,11,eille-Ej,76.19,eill-Ej,32.353,eille-Ej,1012,30398.147,419,13135.734,2962,168375.764,1012,30398.147,751,23447.785,11,220.795,99.508,96.524,85.116,90.612,100,100,99.901,62.317,99.867,99.96,32.353,18.205
abeilles,abEj,NC,8,4,2,5,2,15.54886,2.65,.a.b.eill.e.s,.a.b.Ej.°.#,(a-a.b-b.eill-Ej.e-°.s-#),.a.b.eilles,.a.b.Ej,(a-a.b-b.eilles-Ej),eilles,Ej,eilles-Ej,7,221,100,100,22.581,19.559,1618,65144,590,18033,93.765,94.894,74.432,61.015,48,eill-Ej,8,eilles-Ej,76.19,eill-Ej,23.529,eilles-Ej,1012,30398.147,1025,28321.861,4002,210357.889,1012,30398.147,751,23447.785,8,251.892,99.508,96.524,90.077,93.741,99.084,96.724,99.901,62.317,99.867,99.96,23.529,20.769
abénaquis,abenaki,"NP,NC,ADJ",9,7,1.29,8,4,3.10977,4.55,.a.b.é.n.a.qu.i.s,.a.b.e.n.a.k.i.#,(a-a.b-b.é-e.n-n.a-a.qu-k.i-i.s-#),.a.b.é.n.a.qu.is,.a.b.e.n.a.k.i,(a-a.b-b.é-e.n-n.a-a.qu-k.is-i),is,i,is-i,97,8297,95.098,98.632,17.415,21.56,2277,76000,1217,33549,94.514,92.912,72.769,67.904,523,qu-k,108,is-i,74.122,i-i,17.28,is-i,1012,30398.147,2200,61206.804,4002,210357.889,1012,30398.147,1480,38746.075,108,10716.285,99.508,96.524,92.92,91.674,99.084,96.724,99.901,62.317,78.44,77.885,17.28,23.587
abîmé,abime,VER,5,5,1,5,3,3.10977,2.8,.a.b.î.m.é,.a.b.i.m.e,(a-a.b-b.î-i.m-m.é-e),.a.b.î.m.é,.a.b.i.m.e,(a-a.b-b.î-i.m-m.é-e),é,e,é-e,638,12194,100,100,28.843,21.44,777,21645,738,19583,98.652,98.11,63.425,55.614,5,î-i,5,î-i,94.041,b-b,0.128,î-i,1012,30398.147,723,21610.932,704,12995.844,1012,30398.147,658,18173.594,704,12995.844,99.508,96.524,97.917,98.008,100,100,99.901,62.317,63.515,63.074,26.677,26.53
aboie,abwa,VER,5,4,1.25,4,2,3.10977,2,.a.b.oi.e,.a.b.wa.#,(a-a.b-b.oi-wa.e-#),.a.b.oie,.a.b.wa,(a-a.b-b.oie-wa),oie,wa,oie-wa,11,314,100,100,12.222,2.773,662,21241,591,18037,71.434,69.157,70.377,54.874,254,oi-wa,10,oie-wa,16.592,e-#,11.364,oie-wa,1012,30398.147,522,20356.63,591,13854.118,1012,30398.147,751,23447.785,10,264.332,99.508,96.524,84.818,87.619,16.592,4.866,99.901,62.317,99.867,99.96,11.364,2.345
abondaient,ab§dE,VER,10,5,2,7,3,3.10977,3.45,.a.b.on.d.ai.en.t,.a.b.§.d.E.#.#,(a-a.b-b.on-§.d-d.ai-E.en-#.t-#),.a.b.on.d.aient,.a.b.§.d.E,(a-a.b-b.on-§.d-d.aient-E),aient,E,aient-E,118,958,100,100,17.327,1.051,1088,34877,695,18799,88.991,87.297,78.131,63.553,650,en-#,125,aient-E,35.269,en-#,17.313,aient-E,1012,30398.147,910,25436.807,2055,86557.658,1012,30398.147,779,20871.852,125,979.601,99.508,96.524,84.869,83.191,99.084,98.604,99.901,62.317,91.147,84.715,17.313,1.3
abondance,ab§d@s,NC,9,6,1.5,7,3,6.21954,3.45,.a.b.on.d.an.c.e,.a.b.§.d.@.s.°,(a-a.b-b.on-§.d-d.an-@.c-s.e-°),.a.b.on.d.an.ce,.a.b.§.d.@.s,(a-a.b-b.on-§.d-d.an-@.ce-s),ance,@s,ance-@s,29,896,100,100,26.606,30.094,1246,49956,678,19102,89.89,89.353,74.671,64.913,720,c-s,145,ce-s,39.889,c-s,30.146,ce-s,1012,30398.147,949,30184.186,2962,168375.764,1012,30398.147,728,19214.596,145,7357.728,99.508,96.524,85.944,85.79,100,100,99.901,62.317,79.495,73.898,30.146,31.568
abondante,ab§d@t,ADJ,9,6,1.5,7,3,18.65863,3.1,.a.b.on.d.an.t.e,.a.b.§.d.@.t.°,(a-a.b-b.on-§.d-d.an-@.t-t.e-°),.a.b.on.d.an.te,.a.b.§.d.@.t,(a-a.b-b.on-§.d-d.an-@.te-t),ante,@t,ante-@t,52,1116,100,100,35.616,26.052,1679,62676,714,21016,96.18,95.079,76.667,69.45,789,b-b,358,te-t,83.919,t-t,42.118,te-t,1012,30398.147,1555,47992.06,2962,168375.764,1012,30398.147,728,19214.596,358,18839.025,99.508,96.524,94.75,93.805,100,100,99.901,62.317,79.495,73.898,42.118,58.793
abondantes,ab§d@t,ADJ,10,6,1.67,8,3,21.7684,3.5,.a.b.on.d.an.t.e.s,.a.b.§.d.@.t.°.#,(a-a.b-b.on-§.d-d.an-@.t-t.e-°.s-#),.a.b.on.d.an.tes,.a.b.§.d.@.t,(a-a.b-b.on-§.d-d.an-@.tes-t),antes,@t,antes-@t,42,790,100,100,28.767,18.433,1879,67426,690,18837,96.543,95.284,73.823,62.65,789,b-b,213,tes-t,83.919,t-t,25.059,tes-t,1012,30398.147,1669,49775.736,4002,210357.889,1012,30398.147,728,19214.596,213,5765.551,99.508,96.524,95.625,94.838,99.084,96.724,99.901,62.317,79.495,73.898,25.059,17.993
abondants,ab§d@,ADJ,9,5,1.8,7,3,3.10977,3.25,.a.b.on.d.an.t.s,.a.b.§.d.@.#.#,(a-a.b-b.on-§.d-d.an-@.t-#.s-#),.a.b.on.d.ants,.a.b.§.d.@,(a-a.b-b.on-§.d-d.ants-@),ants,@,ants-@,71,2500,100,100,8.237,4.554,1335,54815,685,19114,85.045,84.524,76.377,64.511,308,t-#,78,ants-@,6.889,t-#,8.543,ants-@,1012,30398.147,867,28590.108,4002,210357.889,1012,30398.147,779,20871.852,78,2556.241,99.508,96.524,79.344,79.684,99.084,96.724,99.901,62.317,91.147,84.715,8.543,6.091
abonde,ab§d,VER,6,4,1.5,5,2,3.10977,2.05,.a.b.on.d.e,.a.b.§.d.°,(a-a.b-b.on-§.d-d.e-°),.a.b.on.de,.a.b.§.d,(a-a.b-b.on-§.de-d),onde,§d,onde-§d,10,662,100,100,52.632,71.717,1396,57796,615,18935,97.888,97.054,82.619,72.672,789,b-b,121,de-d,94.041,b-b,56.542,de-d,1012,30398.147,1002,30068.511,2962,168375.764,1012,30398.147,664,19512.345,121,6315.962,99.508,96.524,96.644,96.248,100,100,99.901,62.317,87.016,77.749,56.542,72.874
abondent,ab§d,VER,8,4,2,6,2,3.10977,2.65,.a.b.on.d.en.t,.a.b.§.d.#.#,(a-a.b-b.on-§.d-d.en-#.t-#),.a.b.on.dent,.a.b.§.d,(a-a.b-b.on-§.dent-d),ondent,§d,ondent-§d,4,165,100,100,21.053,17.845,1120,36713,593,17529,87.299,85.304,71.988,56.454,650,en-#,30,dent-d,35.269,en-#,14.019,dent-d,1012,30398.147,914,25830.656,2055,86557.658,1012,30398.147,664,19512.345,30,693.481,99.508,96.524,81.3,79.175,99.084,98.604,99.901,62.317,87.016,77.749,14.019,8.001
abonnement,abOnm@,NC,10,6,1.67,8,3,3.10977,3.45,.a.b.o.nn.e.m.en.t,.a.b.O.n.°.m.@.#,(a-a.b-b.o-O.nn-n.e-°.m-m.en-@.t-#),.a.b.o.nn.e.m.ent,.a.b.O.n.°.m.@,(a-a.b-b.o-O.nn-n.e-°.m-m.ent-@),ent,@,ent-@,303,8885,100,100,35.151,16.181,1401,43223,934,25010,91.999,91.99,77.529,70.457,394,nn-n,244,nn-n,54.259,en-@,19.551,nn-n,1012,30398.147,1356,38137.376,2055,86557.658,1012,30398.147,1043,27124.813,309,9049.468,99.508,96.524,89.567,90.131,99.084,98.604,99.901,62.317,81.791,81.864,33.844,21.564
abord,abOR,NC,5,4,1.25,5,2,217.68403,1.9,.a.b.o.r.d,.a.b.O.R.#,(a-a.b-b.o-O.r-R.d-#),.a.b.o.rd,.a.b.O.R,(a-a.b-b.o-O.rd-R),ord,OR,ord-OR,9,805,100,100,10,16.906,2089,64739,1036,29834,95.841,94.197,75.246,65.745,78,d-#,35,rd-R,89.393,o-O,2.229,rd-R,1012,30398.147,3118,96005.278,78,5283.505,1012,30398.147,1548,43750.031,35,1436.716,99.508,96.524,94.467,92.842,96.296,95.934,99.901,62.317,99.427,99.6,2.229,1.464
aborde,abORd,VER,6,5,1.2,6,2,12.43909,1.95,.a.b.o.r.d.e,.a.b.O.R.d.°,(a-a.b-b.o-O.r-R.d-d.e-°),.a.b.o.r.de,.a.b.O.R.d,(a-a.b-b.o-O.r-R.de-d),orde,ORd,orde-ORd,5,162,100,100,55.556,85.245,2425,86471,1853,52459,96.533,95.063,90.295,86.053,789,b-b,121,de-d,89.393,o-O,56.542,de-d,1012,30398.147,2644,80012.438,2962,168375.764,1012,30398.147,2711,75193.603,121,6315.962,99.508,96.524,94.923,93.463,100,100,99.901,62.317,98.345,98.358,56.542,72.874
aborder,abORde,VER,7,6,1.17,6,3,6.21954,2.5,.a.b.o.r.d.er,.a.b.O.R.d.e,(a-a.b-b.o-O.r-R.d-d.er-e),.a.b.o.r.d.er,.a.b.O.R.d.e,(a-a.b-b.o-O.r-R.d-d.er-e),er,e,er-e,632,15089,98.596,94.232,28.571,26.531,2065,61685,1826,49872,96.289,94.227,87.475,82.695,789,b-b,751,b-b,89.393,o-O,30.504,er-e,1012,30398.147,2644,80012.438,805,19660.067,1012,30398.147,2285,62292.919,805,19660.067,99.508,96.524,94.923,93.463,98.531,94.982,99.901,62.317,98.611,98.43,30.504,40.134
abordés,abORde,"VER,ADJ",7,6,1.17,7,3,15.54886,2.6,.a.b.o.r.d.é.s,.a.b.O.R.d.e.#,(a-a.b-b.o-O.r-R.d-d.é-e.s-#),.a.b.o.r.d.és,.a.b.O.R.d.e,(a-a.b-b.o-O.r-R.d-d.és-e),és,e,és-e,339,4764,100,100,15.325,8.377,2620,87978,1756,47473,96.877,95.168,84.791,77.799,789,b-b,380,és-e,89.393,o-O,14.399,és-e,1012,30398.147,2665,75018.62,4002,210357.889,1012,30398.147,2285,62292.919,380,5268.017,99.508,96.524,95.909,94.586,99.084,96.724,99.901,62.317,98.611,98.43,14.399,10.754
abracadabrantes,abRakadabR@t,ADJ,15,12,1.25,14,5,3.10977,7.9,.a.b.r.a.c.a.d.a.b.r.an.t.e.s,.a.b.R.a.k.a.d.a.b.R.@.t.°.#,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.an-@.t-t.e-°.s-#),.a.b.r.a.c.a.d.a.b.r.an.tes,.a.b.R.a.k.a.d.a.b.R.@.t,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.an-@.tes-t),antes,@t,antes-@t,42,790,100,100,28.767,18.433,2791,89690,2182,60266,92.902,90.788,86.074,82.383,789,b-b,213,tes-t,59.224,c-k,25.059,tes-t,1012,30398.147,2839,84575.005,4002,210357.889,1012,30398.147,2496,68702.95,213,5765.551,99.508,96.524,91.837,89.815,99.084,96.724,99.901,62.317,90.793,90.828,25.059,17.993
abreuvoirs,abR9vwaR,NC,10,8,1.25,8,3,3.10977,4.75,.a.b.r.eu.v.oi.r.s,.a.b.R.9.v.wa.R.#,(a-a.b-b.r-R.eu-9.v-v.oi-wa.r-R.s-#),.a.b.r.eu.v.oi.rs,.a.b.R.9.v.wa.R,(a-a.b-b.r-R.eu-9.v-v.oi-wa.rs-R),oirs,waR,oirs-waR,7,149,58.333,51.064,15.556,6.045,2505,91604,1224,36545,91.645,91.301,85.41,80.238,254,oi-wa,178,oi-wa,64.992,eu-9,12.102,rs-R,1012,30398.147,2505,82012.774,4002,210357.889,1012,30398.147,1473,43216.69,190,9332.446,99.508,96.524,89.094,89.527,99.084,96.724,99.901,62.317,97.173,97.967,12.102,9.512
abréviation,abRevjasj§,NC,11,10,1.1,10,4,3.10977,4.25,.a.b.r.é.v.i.a.t.i.on,.a.b.R.e.v.j.a.s.j.§,(a-a.b-b.r-R.é-e.v-v.i-j.a-a.t-s.i-j.on-§),.a.b.r.é.v.i.a.t.i.on,.a.b.R.e.v.j.a.s.j.§,(a-a.b-b.r-R.é-e.v-v.i-j.a-a.t-s.i-j.on-§),ion,j§,ion-j§,269,11985,99.63,99.974,61.982,71.028,1915,57371,1683,49106,74.214,73.727,84.629,82.551,408,on-§,408,on-§,9.193,t-s,16.03,t-s,1012,30398.147,2216,64836.688,408,24620.095,1012,30398.147,1927,54504.823,408,24620.095,99.508,96.524,67.951,67.62,99.029,99.786,99.901,62.317,87.198,88.523,48.804,55.006
abréviations,abRevjasj§,NC,12,10,1.2,11,4,31.09772,4.45,.a.b.r.é.v.i.a.t.i.on.s,.a.b.R.e.v.j.a.s.j.§.#,(a-a.b-b.r-R.é-e.v-v.i-j.a-a.t-s.i-j.on-§.s-#),.a.b.r.é.v.i.a.t.i.ons,.a.b.R.e.v.j.a.s.j.§,(a-a.b-b.r-R.é-e.v-v.i-j.a-a.t-s.i-j.ons-§),ions,j§,ions-j§,142,4512,100,100,32.719,26.742,2158,72013,1676,47457,76.527,75.763,83.731,78.866,411,t-s,333,ons-§,9.193,t-s,16.03,t-s,1012,30398.147,2080,61264.838,4002,210357.889,1012,30398.147,1927,54504.823,333,8128.987,99.508,96.524,71.467,71.127,99.084,96.724,99.901,62.317,87.198,88.523,39.833,18.162
abri,abRi,NC,4,4,1,4,2,46.64658,1.95,.a.b.r.i,.a.b.R.i,(a-a.b-b.r-R.i-i),.a.b.r.i,.a.b.R.i,(a-a.b-b.r-R.i-i),i,i,i-i,109,15440,100,100,19.569,40.121,2036,68078,1730,52478,98.379,97.689,78.787,74.435,120,i-i,120,i-i,94.041,b-b,19.2,i-i,1012,30398.147,3506,111963.12,120,17986.932,1012,30398.147,2894,80764.267,120,17986.932,99.508,96.524,97.005,97.116,100,100,99.901,62.317,98.024,97.917,19.2,39.589
abricots,abRiko,NC,8,6,1.33,8,3,3.10977,3.2,.a.b.r.i.c.o.t.s,.a.b.R.i.k.o.#.#,(a-a.b-b.r-R.i-i.c-k.o-o.t-#.s-#),.a.b.r.i.c.ots,.a.b.R.i.k.o,(a-a.b-b.r-R.i-i.c-k.ots-o),ots,o,ots-o,17,3256,100,100,6.615,12.643,2245,80535,1943,53627,67.921,68.04,78.821,75.541,276,o-o,20,ots-o,6.889,t-#,7.246,ots-o,1012,30398.147,2158,67254.271,4002,210357.889,1012,30398.147,2657,72018.773,20,3290.14,99.508,96.524,57.462,58.511,99.084,96.724,99.901,62.317,91.445,92.779,7.246,19.809
abris,abRi,NC,5,4,1.25,5,2,6.21954,1.9,.a.b.r.i.s,.a.b.R.i.#,(a-a.b-b.r-R.i-i.s-#),.a.b.r.is,.a.b.R.i,(a-a.b-b.r-R.is-i),is,i,is-i,97,8297,95.098,98.632,17.415,21.56,3262,117610,1727,50661,93.345,92.062,78.307,70.435,789,b-b,108,is-i,74.122,i-i,17.28,is-i,1012,30398.147,3765,115764.845,4002,210357.889,1012,30398.147,2894,80764.267,108,10716.285,99.508,96.524,89.377,89.021,99.084,96.724,99.901,62.317,98.024,97.917,17.28,23.587
